Entity,Year,$2.15 a day - Number in poverty
Latin America and the Caribbean (PIP),2010,34568220
Latin America and the Caribbean (PIP),2011,32270520
Latin America and the Caribbean (PIP),2012,30561198
Latin America and the Caribbean (PIP),2013,27600272
Latin America and the Caribbean (PIP),2014,26286070
Latin America and the Caribbean (PIP),2015,25029874
Latin America and the Caribbean (PIP),2016,26624324
Latin America and the Caribbean (PIP),2017,26956204
Latin America and the Caribbean (PIP),2018,26791534
Latin America and the Caribbean (PIP),2019,27002604
Latin America and the Caribbean (PIP),2020,24765342
Latin America and the Caribbean (PIP),2021,29456650
Latin America and the Caribbean (PIP),2022,22612772
Latin America and the Caribbean (PIP),2023,22208032
Latin America and the Caribbean (PIP),2024,22070648
Latvia,1993,0
Latvia,1995,770
Latvia,1996,43395
Latvia,2004,56361
Latvia,2005,52881
Latvia,2006,34458
Latvia,2007,13972
Latvia,2008,27842
Latvia,2009,36339
Latvia,2010,36344
Latvia,2011,21186
Latvia,2012,21720
Latvia,2013,23455
Latvia,2014,15778
Latvia,2015,12860
Latvia,2016,12677
Latvia,2017,15484
Latvia,2018,6938
Latvia,2019,4576
Latvia,2020,8647
Latvia,2021,7487
Lebanon,2011,0
Lesotho,1986,907501
Lesotho,1994,1031507
Lesotho,2002,1321694
Lesotho,2017,704521
Liberia,2007,1937986
Liberia,2014,1171914
Liberia,2016,1299718
Lithuania,1993,243678
Lithuania,2004,91434
Lithuania,2005,59198
Lithuania,2006,49801
Lithuania,2007,43285
Lithuania,2008,44431
Lithuania,2009,70952
Lithuania,2010,47523
Lithuania,2011,21214
Lithuania,2012,28318
Lithuania,2013,20852
Lithuania,2014,37007
Lithuania,2015,20911
Lithuania,2016,36441
Lithuania,2017,28921
Lithuania,2018,25915
Lithuania,2019,15310
Lithuania,2020,5296
Lithuania,2021,7019
Luxembourg,1985,0
Luxembourg,1986,0
Luxembourg,1987,0
Luxembourg,1988,0
Luxembourg,1989,0
Luxembourg,1990,0
Luxembourg,1991,0
Luxembourg,1992,0
Luxembourg,1993,0
Luxembourg,1994,0
Luxembourg,1995,0
Luxembourg,1996,0
Luxembourg,1997,0
Luxembourg,1998,0
Luxembourg,1999,0
Luxembourg,2000,0
Luxembourg,2001,0
Luxembourg,2002,0
Luxembourg,2003,324
Luxembourg,2004,83
Luxembourg,2005,161
Luxembourg,2006,0
Luxembourg,2007,105
Luxembourg,2008,0
Luxembourg,2009,220
Luxembourg,2010,0
Luxembourg,2011,609
Luxembourg,2012,232
Luxembourg,2013,484
Luxembourg,2014,778
Luxembourg,2015,1710
Luxembourg,2016,682
Luxembourg,2017,1688
Luxembourg,2018,1732
Luxembourg,2019,627
Luxembourg,2020,0
Luxembourg,2021,320
Madagascar,1980,4357666
Madagascar,1993,9628737
Madagascar,1997,10252170
Madagascar,1999,10518844
Madagascar,2001,11863260
Madagascar,2005,13947807
Madagascar,2010,17418466
Madagascar,2012,18907122
Malawi,1997,6251796
Malawi,2004,8601553
Malawi,2010,10137870
Malawi,2016,11538619
Malawi,2019,13329276
Malaysia,1984,393010
Malaysia,1987,265027
Malaysia,1989,123226
Malaysia,1992,185823
Malaysia,1995,291381
Malaysia,1997,0
Malaysia,2003,388718
Malaysia,2006,204159
Malaysia,2008,193665
Malaysia,2011,40836
Malaysia,2013,10239
Malaysia,2015,5991
Malaysia,2018,3594
Malaysia,2021,0
Maldives,2002,19478
Maldives,2009,13405
Maldives,2016,0
Maldives,2019,0
Mali,1994,8206052
Mali,2001,6637279
Mali,2006,6824454
Mali,2009,7454427
Mali,2018,3088684
Mali,2021,4648860
Malta,2006,2075
Malta,2007,1669
Malta,2008,446
Malta,2009,1775
Malta,2010,909
Malta,2011,773
Malta,2012,494
Malta,2013,126
Malta,2014,0
Malta,2015,376
Malta,2016,419
Malta,2017,748
Malta,2018,501
Malta,2019,1536
Malta,2020,1318
Marshall Islands,2019,377
Mauritania,1987,766037
Mauritania,1993,958828
Mauritania,1995,525710
Mauritania,2000,586281
Mauritania,2004,540709
Mauritania,2008,385445
Mauritania,2014,249454
Mauritania,2019,238428
Mauritius,2006,3805
Mauritius,2012,5179
Mauritius,2017,1585
Mexico,1984,6104648
Mexico,1989,6984398
Mexico,1992,6685526
Mexico,1994,7006861
Mexico,1996,12786342
Mexico,1998,14439945
Mexico,2000,10451561
Mexico,2002,7590222
Mexico,2004,7432974
Mexico,2005,8224688
Mexico,2006,5722800
Mexico,2008,6561634
Mexico,2010,5293932
Mexico,2012,4861284
Mexico,2014,4730182
Mexico,2016,2814867
Mexico,2018,2326468
Mexico,2020,2686208
Mexico,2022,1504140
Micronesia (country),2005,9496
Micronesia (country),2013,17408
Micronesia (country) (urban),2000,10847
Middle East and North Africa (PIP),1990,14810615
Middle East and North Africa (PIP),1991,14667132
Middle East and North Africa (PIP),1992,13230840
Middle East and North Africa (PIP),1993,12829190
Middle East and North Africa (PIP),1994,12025458
Middle East and North Africa (PIP),1995,12263205
Middle East and North Africa (PIP),1996,10452844
Middle East and North Africa (PIP),1997,9795865
Middle East and North Africa (PIP),1998,9005200
Middle East and North Africa (PIP),1999,9106714
Middle East and North Africa (PIP),2000,8486550
Middle East and North Africa (PIP),2001,8707596
Middle East and North Africa (PIP),2002,8328826
Middle East and North Africa (PIP),2003,8616610
Middle East and North Africa (PIP),2004,8271164
Middle East and North Africa (PIP),2005,8335991
Middle East and North Africa (PIP),2006,8207292
Middle East and North Africa (PIP),2007,8301010
Middle East and North Africa (PIP),2008,8185927
Middle East and North Africa (PIP),2009,7468776
Middle East and North Africa (PIP),2010,6478703
Middle East and North Africa (PIP),2011,7126338
Middle East and North Africa (PIP),2012,8017550
Middle East and North Africa (PIP),2013,9264557
Middle East and North Africa (PIP),2014,10381193
Middle East and North Africa (PIP),2015,14038597
Middle East and North Africa (PIP),2016,17319662
Middle East and North Africa (PIP),2017,18439126
Middle East and North Africa (PIP),2018,18943804
Middle East and North Africa (PIP),2019,18672272
Middle East and North Africa (PIP),2020,22122300
Middle East and North Africa (PIP),2021,24970678
Middle East and North Africa (PIP),2022,26126132
Middle East and North Africa (PIP),2023,27797856
Middle East and North Africa (PIP),2024,29769174
Moldova,1997,382012
Moldova,1998,705846
Moldova,1999,982018
Moldova,2000,909115
Moldova,2001,678633
Moldova,2002,394744
Moldova,2003,162832
Moldova,2004,189701
Moldova,2005,314173
Moldova,2006,56540
Moldova,2007,27376
Moldova,2008,27467
Moldova,2009,18854
Moldova,2010,11747
Moldova,2011,6199
Moldova,2012,3962
Moldova,2013,720
Moldova,2014,0
Moldova,2015,885
Moldova,2016,3029
Moldova,2017,0
Moldova,2018,0
Moldova,2019,763
Moldova,2021,0
Mongolia,1995,343957
Mongolia,1998,684240
Mongolia,2002,290058
Mongolia,2007,44410
Mongolia,2010,30905
Mongolia,2011,23507
Mongolia,2012,13211
Mongolia,2014,9508
Mongolia,2016,21404
Mongolia,2018,22515
Mongolia,2022,7592
Montenegro,2012,18812
Montenegro,2013,18817
Montenegro,2014,10120
Montenegro,2015,8373
Montenegro,2016,15398
Montenegro,2017,20610
Montenegro,2018,17670
Montenegro,2019,12426
Montenegro,2020,10982
Montenegro,2021,12243
Morocco,1984,2912951
Morocco,1990,1177099
Morocco,1998,2332497
Morocco,2000,2290256
Morocco,2006,1323446
Morocco,2013,491034
Mozambique,1996,13393977
Mozambique,2002,15264095
Mozambique,2008,15746122
Mozambique,2014,17060470
Mozambique,2019,23183408
Myanmar,2015,3200758
Myanmar,2017,1041143
Namibia,1993,828572
Namibia,2003,692663
Namibia,2009,561742
Namibia,2015,358204
Nauru,2012,177
Nepal,1984,11872057
Nepal,1995,12434601
Nepal,2003,10384298
Nepal,2010,2239717
Nepal,2022,112627
Netherlands,1983,65841
Netherlands,1987,36582
Netherlands,1990,142448
Netherlands,1993,190940
Netherlands,1999,32082
Netherlands,2004,38405
Netherlands,2005,24206
Netherlands,2006,7485
Netherlands,2007,4690
Netherlands,2008,21973
Netherlands,2009,18311
Netherlands,2010,7882
Netherlands,2011,16034
Netherlands,2012,12707
Netherlands,2013,14599
Netherlands,2014,9733
Netherlands,2015,10446
Netherlands,2016,7820
Netherlands,2017,32338
Netherlands,2018,17390
Netherlands,2019,16604
Netherlands,2020,4877
Netherlands,2021,12224
Nicaragua,1993,1734366
Nicaragua,1998,1281424
Nicaragua,2001,925064
Nicaragua,2005,496295
Nicaragua,2009,477615
Nicaragua,2014,244686
Niger,1992,7719619
Niger,1994,8217044
Niger,2005,11153621
Niger,2007,11889381
Niger,2011,10466489
Niger,2014,10376563
Niger,2018,11744442
Niger,2021,13023112
Nigeria,1985,40237420
Nigeria,1992,52449188
Nigeria,1996,65234112
Nigeria,2003,64903052
Nigeria,2010,56935752
Nigeria,2012,58321404
Nigeria,2015,60104216
Nigeria,2018,62367092
North Macedonia,2009,200303
North Macedonia,2010,214711
North Macedonia,2011,187061
North Macedonia,2012,142476
North Macedonia,2013,107860
North Macedonia,2014,93382
North Macedonia,2015,113915
North Macedonia,2016,87804
North Macedonia,2017,93228
North Macedonia,2018,70561
North Macedonia,2019,55310
Norway,1979,9266
Norway,1986,10205
Norway,1991,20254
Norway,1995,21405
Norway,2000,10557
Norway,2003,9336
Norway,2004,12161
Norway,2005,9337
Norway,2006,6105
Norway,2007,5966
Norway,2008,10811
Norway,2009,4198
Norway,2010,7382
Norway,2011,4833
Norway,2012,5887
Norway,2013,6626
Norway,2014,5801
Norway,2015,8823
Norway,2016,14692
Norway,2017,15390
Norway,2018,13517
Norway,2019,8371
Other high income countries (PIP),1990,3843851
Other high income countries (PIP),1991,4089404
Other high income countries (PIP),1992,4585676
Other high income countries (PIP),1993,5198234
Other high income countries (PIP),1994,4886688
Other high income countries (PIP),1995,4858414
Other high income countries (PIP),1996,5308504
Other high income countries (PIP),1997,5245866
Other high income countries (PIP),1998,5315114
Other high income countries (PIP),1999,5038137
Other high income countries (PIP),2000,4772920
Other high income countries (PIP),2001,4944834
Other high income countries (PIP),2002,5111512
Other high income countries (PIP),2003,5654562
Other high income countries (PIP),2004,5423166
Other high income countries (PIP),2005,5430750
Other high income countries (PIP),2006,5217356
Other high income countries (PIP),2007,5116968
Other high income countries (PIP),2008,5271804
Other high income countries (PIP),2009,5450870
Other high income countries (PIP),2010,5442033
Other high income countries (PIP),2011,5877066
Other high income countries (PIP),2012,6196891
Other high income countries (PIP),2013,6834698
Other high income countries (PIP),2014,7316082
Other high income countries (PIP),2015,7992175
Other high income countries (PIP),2016,6919661
Other high income countries (PIP),2017,7645977
Other high income countries (PIP),2018,6831158
Other high income countries (PIP),2019,6669153
Other high income countries (PIP),2020,4063084
Other high income countries (PIP),2021,3589407
Other high income countries (PIP),2022,7127630
Other high income countries (PIP),2023,7147187
Other high income countries (PIP),2024,7165876
Pakistan,1987,70198760
Pakistan,1990,76380712
Pakistan,1996,31051748
Pakistan,1998,43945880
Pakistan,2001,53653080
Pakistan,2004,34852884
Pakistan,2005,35767476
Pakistan,2007,27402886
Pakistan,2010,18438048
Pakistan,2011,19214534
Pakistan,2013,15225547
Pakistan,2015,10846225
Pakistan,2018,10925983
Palestine,2004,19084
Palestine,2005,6726
Palestine,2006,10684
Palestine,2007,47434
Palestine,2009,9781
Palestine,2010,1651
Palestine,2011,7340
Palestine,2016,22285
Panama,1979,118456
Panama,1989,537566
Panama,1991,503177
Panama,1995,412706
Panama,1997,401752
Panama,1998,417162
Panama,1999,361271
Panama,2000,332337
Panama,2001,429930
Panama,2002,298503
Panama,2003,314319
Panama,2004,283705
Panama,2005,283147
Panama,2006,316297
Panama,2007,228749
Panama,2008,142368
Panama,2009,89988
Panama,2010,122916
Panama,2011,90455
Panama,2012,130111
Panama,2013,85777
Panama,2014,112533
Panama,2015,59909
Panama,2016,61077
Panama,2017,85900
Panama,2018,58549
Panama,2019,42499
Panama,2021,48223
Panama,2023,57558
Papua New Guinea,1996,2519530
Papua New Guinea,2009,2979909
Paraguay,1990,48273
Paraguay,1995,571025
Paraguay,1997,508482
Paraguay,1999,512994
Paraguay,2001,465963
Paraguay,2002,699714
Paraguay,2003,444452
Paraguay,2004,309151
Paraguay,2005,332571
Paraguay,2006,439882
Paraguay,2007,438396
Paraguay,2008,243983
Paraguay,2009,328896
Paraguay,2010,314951
Paraguay,2011,295003
Paraguay,2012,197324
Paraguay,2013,107355
Paraguay,2014,147023
Paraguay,2015,116846
Paraguay,2016,106175
Paraguay,2017,62374
Paraguay,2018,90637
Paraguay,2019,66052
Paraguay,2020,53829
Paraguay,2021,46201
Paraguay,2022,90154
Peru,1997,5032141
Peru,1998,5020896
Peru,1999,5076110
Peru,2000,5135944
Peru,2001,5471730
Peru,2002,4795842
Peru,2003,4050862
Peru,2004,4550001
Peru,2005,5013535
Peru,2006,4426638
Peru,2007,3779616
Peru,2008,3144822
Peru,2009,2556168
Peru,2010,1994558
Peru,2011,1917238
Peru,2012,1808343
Peru,2013,1620994
Peru,2014,1464522
Peru,2015,1449154
Peru,2016,1430920
Peru,2017,1421318
Peru,2018,1148710
Peru,2019,977224
Peru,2020,1938922
Peru,2021,934962
Peru,2022,904545
Philippines,1985,15747677
Philippines,1988,15136038
Philippines,1991,17143660
Philippines,1994,17304942
Philippines,1997,13206936
Philippines,2000,11718674
Philippines,2003,11308937
Philippines,2006,13447691
Philippines,2009,10341480
Philippines,2012,12239868
Philippines,2015,8542232
Philippines,2018,5490388
Philippines,2021,7691626
Poland,1985,0
Poland,1986,91995
Poland,1987,0
Poland,1989,0
Poland,1992,85786
Poland,1995,673396
Poland,1999,191775
Poland,2004,829159
Poland,2005,351480
Poland,2006,251295
Poland,2007,179693
Poland,2008,66853
Poland,2009,139759
Poland,2010,132860
Poland,2011,130155
Poland,2012,74231
Poland,2013,160381
Poland,2014,151981
Poland,2015,164752
Poland,2016,89911
Poland,2017,132352
Poland,2018,94017
Poland,2019,23827
Poland,2020,52051
Poland,2021,40586
Portugal,2003,93700
Portugal,2004,56261
Portugal,2005,57088
Portugal,2006,9751
Portugal,2007,27171
Portugal,2008,14491
Portugal,2009,17532
Portugal,2010,14428
Portugal,2011,53636
Portugal,2012,73942
Portugal,2013,89429
Portugal,2014,56756
Portugal,2015,49967
Portugal,2016,38683
Portugal,2017,42282
Portugal,2018,29849
Portugal,2019,15298
Portugal,2020,48632
Portugal,2021,23470
Qatar,2017,0
Romania,1989,0
Romania,1992,0
Romania,1994,2280522
Romania,1995,396654
Romania,1997,507220
Romania,2006,1558967
Romania,2007,1109014
Romania,2008,839346
Romania,2009,637236
Romania,2010,845210
Romania,2011,1083216
Romania,2012,1245236
Romania,2013,1322346
Romania,2014,1398143
Romania,2015,1043514
Romania,2016,638415
Romania,2017,639794
Romania,2018,519321
Romania,2019,419217
Romania,2020,271517
Romania,2021,335983
Russia,1993,5239110
Russia,1996,6899817
Russia,1997,2251395
Russia,1998,3373461
Russia,1999,6456306
Russia,2000,4361853
Russia,2001,2565721
Russia,2002,1469625
Russia,2003,1580991
Russia,2004,1445391
Russia,2005,1111921
Russia,2006,630803
Russia,2007,287609
Russia,2008,131502
Russia,2009,94497
Russia,2010,119036
Russia,2011,54704
Russia,2012,46127
Russia,2013,11716
Russia,2014,30656
Russia,2015,47203
Russia,2016,39251
Russia,2017,48308
Russia,2018,42176
Russia,2019,43897
Russia,2020,14837
Rwanda,2000,6132384
Rwanda,2005,6082787
Rwanda,2010,6235126
Rwanda,2013,6074333
Rwanda,2016,6324619
Rwanda (rural),1984,3428880
Saint Lucia,1995,58083
Saint Lucia,2015,9203
Samoa,2002,4065
Samoa,2008,2019
Samoa,2013,2305
Sao Tome and Principe,2000,29644
Sao Tome and Principe,2010,41192
Sao Tome and Principe,2017,32711
Senegal,1991,5474273
Senegal,1994,5120660
Senegal,2001,5251063
Senegal,2005,4601184
Senegal,2011,5319404
Senegal,2018,1456044
Senegal,2021,1706314
Serbia,2012,384444
Serbia,2013,418614
Serbia,2014,493660
Serbia,2015,471610
Serbia,2016,448654
Serbia,2017,378764
Serbia,2018,204121
Serbia,2019,162133
Serbia,2020,107422
Serbia,2021,84939
Seychelles,1999,613
Seychelles,2006,316
Seychelles,2013,1112
Seychelles,2018,495
Sierra Leone,2003,3309788
Sierra Leone,2011,2558869
Sierra Leone,2018,2048810
Slovakia,1992,0
Slovakia,1996,80250
Slovakia,2004,3612
Slovakia,2005,12754
Slovakia,2006,12303
Slovakia,2007,19756
Slovakia,2008,21931
Slovakia,2009,24065
Slovakia,2010,26693
Slovakia,2011,22882
Slovakia,2012,21681
Slovakia,2013,15239
Slovakia,2014,36600
Slovakia,2015,35893
Slovakia,2016,74983
Slovakia,2017,12258
Slovakia,2018,9230
Slovakia,2019,6442
Slovakia,2020,11589
Slovakia,2021,5528
Slovenia,1987,0
Slovenia,1993,0
Slovenia,1997,0
Slovenia,1999,0
Slovenia,2004,518
Slovenia,2005,2029
Slovenia,2006,1013
Slovenia,2007,653
Slovenia,2008,0
Slovenia,2009,0
Slovenia,2010,188
Slovenia,2011,0
Slovenia,2012,540
Slovenia,2013,448
Slovenia,2014,0
Slovenia,2015,100
Slovenia,2016,0
Slovenia,2017,0
Slovenia,2018,0
Slovenia,2019,0
Slovenia,2020,0
Slovenia,2021,0
Solomon Islands,2005,246987
Solomon Islands,2012,153890
South Africa,1993,14263032
South Africa,2000,17354002
South Africa,2005,13887212
South Africa,2008,9512730
South Africa,2010,9339909
South Africa,2014,11410567
South Asia (PIP),1990,570946048
South Asia (PIP),1991,566153920
South Asia (PIP),1992,558026944
South Asia (PIP),1993,563259072
South Asia (PIP),1994,555569216
South Asia (PIP),1995,556985216
South Asia (PIP),1996,548824384
South Asia (PIP),1997,554445120
South Asia (PIP),1998,565040256
South Asia (PIP),1999,567629888
South Asia (PIP),2000,575145984
South Asia (PIP),2001,583652672
South Asia (PIP),2002,590250176
South Asia (PIP),2003,579874880
South Asia (PIP),2004,563396672
South Asia (PIP),2005,547391104
South Asia (PIP),2006,529398336
South Asia (PIP),2007,510162592
South Asia (PIP),2008,499037376
South Asia (PIP),2009,483264128
South Asia (PIP),2010,421789888
South Asia (PIP),2011,363246848
South Asia (PIP),2012,339098688
South Asia (PIP),2013,327521920
South Asia (PIP),2014,312509312
South Asia (PIP),2015,293974048
South Asia (PIP),2016,282914912
South Asia (PIP),2017,228703504
South Asia (PIP),2018,185471152
South Asia (PIP),2019,197267168
South Asia (PIP),2020,244566112
South Asia (PIP),2021,217729520
South Asia (PIP),2022,186216448
South Asia (PIP),2023,168163984
South Asia (PIP),2024,148676784
South Korea,2006,120826
South Korea,2008,119085
South Korea,2010,245739
South Korea,2012,125138
South Korea,2014,119581
South Korea,2016,126657
South Korea,2017,123437
South Korea,2018,128327
South Korea,2019,0
South Korea,2020,0
South Korea,2021,0
South Sudan,2009,3187927
South Sudan,2016,7313200
Spain,1980,186304
Spain,1985,91294
Spain,1990,192170
Spain,1993,487122
Spain,1994,394513
Spain,1995,588846
Spain,1996,594804
Spain,1997,394965
Spain,1998,383211
Spain,1999,290833
Spain,2000,273991
Spain,2003,341193
Spain,2004,350952
Spain,2005,322149
Spain,2006,341696
Spain,2007,164192
Spain,2008,224678
Spain,2009,373500
Spain,2010,314732
Spain,2011,526944
Spain,2012,438073
Spain,2013,529745
Spain,2014,365878
Spain,2015,419642
Spain,2016,523076
Spain,2017,315945
Spain,2018,392453
Spain,2019,374163
Spain,2020,419833
Spain,2021,267544
Sri Lanka,1985,2765146
Sri Lanka,1990,2010837
Sri Lanka,1995,2148992
Sri Lanka,2002,2105443
Sri Lanka,2006,1124448
Sri Lanka,2009,719209
Sri Lanka,2012,545227
Sri Lanka,2016,277528
Sri Lanka,2019,209006
Sub-Saharan Africa (PIP),1990,282203520
Sub-Saharan Africa (PIP),1991,297476608
Sub-Saharan Africa (PIP),1992,311013888
Sub-Saharan Africa (PIP),1993,325383296
Sub-Saharan Africa (PIP),1994,335768736
Sub-Saharan Africa (PIP),1995,342075776
Sub-Saharan Africa (PIP),1996,347399872
Sub-Saharan Africa (PIP),1997,353742720
Sub-Saharan Africa (PIP),1998,361500128
Sub-Saharan Africa (PIP),1999,368628800
Sub-Saharan Africa (PIP),2000,375728672
Sub-Saharan Africa (PIP),2001,379146432
Sub-Saharan Africa (PIP),2002,384747936
Sub-Saharan Africa (PIP),2003,386723648
Sub-Saharan Africa (PIP),2004,376387616
Sub-Saharan Africa (PIP),2005,373535616
Sub-Saharan Africa (PIP),2006,371671712
Sub-Saharan Africa (PIP),2007,372791456
Sub-Saharan Africa (PIP),2008,370352032
Sub-Saharan Africa (PIP),2009,375822592
Sub-Saharan Africa (PIP),2010,370573408
Sub-Saharan Africa (PIP),2011,370554176
Sub-Saharan Africa (PIP),2012,369551616
Sub-Saharan Africa (PIP),2013,371213120
Sub-Saharan Africa (PIP),2014,373953376
Sub-Saharan Africa (PIP),2015,385311648
Sub-Saharan Africa (PIP),2016,393551744
Sub-Saharan Africa (PIP),2017,398461888
Sub-Saharan Africa (PIP),2018,402819232
Sub-Saharan Africa (PIP),2019,411152736
Sub-Saharan Africa (PIP),2020,436740160
Sub-Saharan Africa (PIP),2021,444278688
Sub-Saharan Africa (PIP),2022,447998912
Sub-Saharan Africa (PIP),2023,458477664
Sub-Saharan Africa (PIP),2024,464179744
Sudan,2009,6120505
Sudan,2014,5647827
Suriname,2022,6825
Suriname (urban),1999,57510
Sweden,1975,40879
Sweden,1981,20775
Sweden,1987,20680
Sweden,1992,21108
Sweden,1995,21825
Sweden,2000,0
Sweden,2001,22122
Sweden,2002,0
Sweden,2003,28999
Sweden,2004,35720
Sweden,2005,97933
Sweden,2006,33088
Sweden,2007,37584
Sweden,2008,53142
Sweden,2009,42589
Sweden,2010,51337
Sweden,2011,58174
Sweden,2012,43504
Sweden,2013,62486
Sweden,2014,45992
Sweden,2015,55773
Sweden,2016,25944
Sweden,2017,24978
Sweden,2018,73822
Sweden,2019,32535
Sweden,2020,40284
Sweden,2021,65545
Switzerland,1982,44573
Switzerland,1992,34003
Switzerland,2000,0
Switzerland,2002,0
Switzerland,2004,0
Switzerland,2006,3485
Switzerland,2007,1572
Switzerland,2008,5237
Switzerland,2009,2947
Switzerland,2010,3808
Switzerland,2011,246
Switzerland,2012,717
Switzerland,2013,3412
Switzerland,2014,2683
Switzerland,2015,2530
Switzerland,2016,2870
Switzerland,2017,0
Switzerland,2018,2597
Switzerland,2019,1491
Switzerland,2020,3213
Syria,1996,356877
Syria,2003,188471
Syria,2006,365897
Syria,2009,267383
Syria,2022,5495012
Taiwan,1981,0
Taiwan,1986,0
Taiwan,1991,0
Taiwan,1995,106037
Taiwan,1997,0
Taiwan,2000,0
Taiwan,2005,0
Taiwan,2007,0
Taiwan,2010,55765
Taiwan,2013,0
Taiwan,2016,0
Taiwan,2017,0
Taiwan,2018,0
Taiwan,2019,0
Taiwan,2020,0
Taiwan,2021,0
Tajikistan,1999,3835203
Tajikistan,2003,2452125
Tajikistan,2004,1452612
Tajikistan,2007,919932
Tajikistan,2009,507276
Tajikistan,2015,521206
Tanzania,1991,19072132
Tanzania,2000,29225350
Tanzania,2007,23461656
Tanzania,2011,21198400
Tanzania,2018,26045692
Thailand,1981,10620179
Thailand,1988,9419557
Thailand,1990,6817953
Thailand,1992,5121669
Thailand,1994,2639787
Thailand,1996,1858232
Thailand,1998,1343126
Thailand,1999,2466816
Thailand,2000,2502162
Thailand,2002,1129864
Thailand,2004,774402
Thailand,2006,616689
Thailand,2007,361998
Thailand,2008,204993
Thailand,2009,167653
Thailand,2010,181079
Thailand,2011,49172
Thailand,2012,79752
Thailand,2013,42319
Thailand,2014,63146
Thailand,2015,32713
Thailand,2016,25523
Thailand,2017,26322
Thailand,2018,22856
Thailand,2019,67769
Thailand,2020,33354
Thailand,2021,10004
Togo,2006,3581474
Togo,2011,3974104
Togo,2015,4087270
Togo,2018,2312072
Togo,2021,2332972
Tonga,2000,3189
Tonga,2009,1352
Tonga,2015,1901
Tonga,2021,20
Trinidad and Tobago,1988,0
Trinidad and Tobago,1992,17264
Tunisia,1985,968453
Tunisia,1990,784078
Tunisia,1995,906268
Tunisia,2000,427193
Tunisia,2005,267610
Tunisia,2010,163836
Tunisia,2015,16263
Tunisia,2021,33626
Turkey,1987,449464
Turkey,1994,1499156
Turkey,2002,1388676
Turkey,2003,2578130
Turkey,2004,1364954
Turkey,2005,1608148
Turkey,2006,1232102
Turkey,2007,915801
Turkey,2008,401405
Turkey,2009,518963
Turkey,2010,565951
Turkey,2011,96140
Turkey,2012,69959
Turkey,2013,227000
Turkey,2014,157978
Turkey,2015,166115
Turkey,2016,160710
Turkey,2017,241388
Turkey,2018,288501
Turkey,2019,372880
Turkey,2020,392657
Turkey,2021,372659
Turkmenistan,1998,1910653
Tuvalu,2010,382
Uganda,1989,9993882
Uganda,1992,12340083
Uganda,1996,13668582
Uganda,1999,16094207
Uganda,2002,17059042
Uganda,2005,16180864
Uganda,2009,14588516
Uganda,2012,13036576
Uganda,2016,16903616
Uganda,2019,18480600
Ukraine,1992,2037383
Ukraine,1993,1015416
Ukraine,1995,4067451
Ukraine,1996,3680253
Ukraine,2002,1283630
Ukraine,2003,544358
Ukraine,2004,441144
Ukraine,2005,186919
Ukraine,2006,75072
Ukraine,2007,47454
Ukraine,2008,12407
Ukraine,2009,31923
Ukraine,2010,5751
Ukraine,2011,5187
Ukraine,2012,51907
Ukraine,2013,2008
Ukraine,2014,5558
Ukraine,2015,55637
Ukraine,2016,44261
Ukraine,2017,14446
Ukraine,2018,4433
Ukraine,2019,0
Ukraine,2020,12721
United Arab Emirates,2013,0
United Arab Emirates,2018,0
United Kingdom,1968,123012
United Kingdom,1969,135144
United Kingdom,1970,0
United Kingdom,1971,0
United Kingdom,1972,129036
United Kingdom,1973,0
United Kingdom,1974,134035
United Kingdom,1975,133169
United Kingdom,1976,0
United Kingdom,1977,137495
United Kingdom,1978,0
United Kingdom,1979,0
United Kingdom,1980,0
United Kingdom,1981,0
United Kingdom,1982,0
United Kingdom,1983,0
United Kingdom,1984,0
United Kingdom,1985,123248
United Kingdom,1986,139821
United Kingdom,1987,0
United Kingdom,1988,0
United Kingdom,1989,132317
United Kingdom,1990,0
United Kingdom,1991,0
United Kingdom,1992,138242
United Kingdom,1993,139200
United Kingdom,1994,142713
United Kingdom,1995,143389
United Kingdom,1996,143304
United Kingdom,1997,144189
United Kingdom,1998,143620
United Kingdom,1999,145845
United Kingdom,2000,146575
United Kingdom,2001,146576
United Kingdom,2002,148073
United Kingdom,2003,149043
United Kingdom,2004,149830
United Kingdom,2005,148979
United Kingdom,2006,140033
United Kingdom,2007,149489
United Kingdom,2008,152586
United Kingdom,2009,155023
United Kingdom,2010,154626
United Kingdom,2011,156443
United Kingdom,2012,155860
United Kingdom,2013,156767
United Kingdom,2014,159116
United Kingdom,2015,162300
United Kingdom,2016,163486
United Kingdom,2017,164682
United Kingdom,2018,331293
United Kingdom,2019,332871
United Kingdom,2020,334959
United Kingdom,2021,164282
United States,1963,2363283
United States,1964,2384240
United States,1965,1942246
United States,1966,1962108
United States,1967,1984094
United States,1968,1499701
United States,1969,1011683
United States,1970,2036078
United States,1971,1551554
United States,1972,1571410
United States,1973,1588394
United States,1974,1597831
United States,1975,1073719
United States,1976,1087301
United States,1977,1100092
United States,1978,1112796
United States,1979,1124872
United States,1980,1135032
United States,1981,1145665
United States,1982,1732224
United States,1983,1168480
United States,1984,1168606
United States,1985,1182701
United States,1986,1191518
United States,1987,1209680
United States,1988,1220549
United States,1989,1232124
United States,1990,1240984
United States,1991,1263355
United States,1992,1277182
United States,1993,1298708
United States,1994,1315085
United States,1995,1331340
United States,1996,2016536
United States,1997,2042369
United States,1998,2065689
United States,1999,2087376
United States,2000,2115076
United States,2001,2135292
United States,2002,2154071
United States,2003,2893594
